CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure
15634602,Hargrave,619,France,Female,42,2
15647311,Hill,608,Spain,Female,41,1
15619304,Onio,502,France,Female,42,8
15701354,Boni,699,France,Female,39,1
15737888,Mitchell,850,Spain,Female,43,2
15574012,Chu,645,Spain,Male,44,8
15592531,Bartlett,822,France,Male,50,7
15656148,Obinna,376,Germany,Female,29,4
15792365,He,501,France,Male,44,4
15592389,H?,684,France,Male,27,2
15767821,Bearce,528,France,Male,31,6
15737173,Andrews,497,Spain,Male,24,3
15632264,Kay,476,France,Female,34,10
15691483,Chin,549,France,Female,25,5
15600882,Scott,635,Spain,Female,35,7
15643966,Goforth,616,Germany,Male,45,3
15737452,Romeo,653,Germany,Male,58,1
15788218,Henderson,549,Spain,Female,24,9
15661507,Muldrow,587,Spain,Male,45,6
15568982,Hao,726,France,Female,24,6
15577657,McDonald,732,France,Male,41,8
15597945,Dellucci,636,Spain,Female,32,8
15699309,Gerasimov,510,Spain,Female,38,4
15725737,Mosman,669,France,Male,46,3
15625047,Yen,846,France,Female,38,5
15738191,Maclean,577,France,Male,25,3
15736816,Young,756,Germany,Male,36,2
15700772,Nebechi,571,France,Male,44,9
15728693,McWilliams,574,Germany,Female,43,3
15656300,Lucciano,411,France,Male,29,0
15589475,Azikiwe,591,Spain,Female,39,3
15706552,Odinakachukwu,533,France,Male,36,7
15750181,Sanderson,553,Germany,Male,41,9
15659428,Maggard,520,Spain,Female,42,6
15732963,Clements,722,Spain,Female,29,9
15794171,Lombardo,475,France,Female,45,0
15788448,Watson,490,Spain,Male,31,3
15729599,Lorenzo,804,Spain,Male,33,7
15717426,Armstrong,850,France,Male,36,7
15585768,Cameron,582,Germany,Male,41,6
15619360,Hsiao,472,Spain,Male,40,4
15738148,Clarke,465,France,Female,51,8
15687946,Osborne,556,France,Female,61,2
15755196,Lavine,834,France,Female,49,2
15684171,Bianchi,660,Spain,Female,61,5
15754849,Tyler,776,Germany,Female,32,4
15602280,Martin,829,Germany,Female,27,9
15771573,Okagbue,637,Germany,Female,39,9
15766205,Yin,550,Germany,Male,38,2
15771873,Buccho,776,Germany,Female,37,2
15616550,Chidiebele,698,Germany,Male,44,10
15768193,Trevisani,585,Germany,Male,36,5
15683553,O'Brien,788,France,Female,33,5
15702298,Parkhill,655,Germany,Male,41,8
15569590,Yoo,601,Germany,Male,42,1
15760861,Phillipps,619,France,Male,43,1
15630053,Tsao,656,France,Male,45,5
15647091,Endrizzi,725,Germany,Male,19,0
15623944,T'ien,511,Spain,Female,66,4
15804771,Velazquez,614,France,Male,51,4
15651280,Hunter,742,Germany,Male,35,5
15773469,Clark,687,Germany,Female,27,9
15702014,Jeffrey,555,Spain,Male,33,1
15751208,Pirozzi,684,Spain,Male,56,8
15592461,Jackson,603,Germany,Male,26,4
15789484,Hammond,751,Germany,Female,36,6
15696061,Brownless,581,Germany,Female,34,1
15641582,Chibugo,735,Germany,Male,43,10
15638424,Glauert,661,Germany,Female,35,5
15755648,Pisano,675,France,Female,21,8
